index,ds,227645,230054,247467,265812,269255,283639
363,2011-01-01 00:00:00,0,0,0,0,0,0
364,2011-01-02 00:00:00,0,0,0,0,0,0
365,2011-01-03 00:00:00,1024,832,3056,1024,768,1112
366,2011-01-04 00:00:00,1280,1838,2020,1600,1024,429
367,2011-01-05 00:00:00,1280,1190,3072,1408,1024,518
368,2011-01-06 00:00:00,1280,0,2800,1472,1280,1077
369,2011-01-07 00:00:00,1280,1518,3328,1600,1472,807
370,2011-01-08 00:00:00,512,902,768,1504,960,877
371,2011-01-09 00:00:00,0,0,0,0,0,0
372,2011-01-10 00:00:00,1280,512,3072,1296,745,893
373,2011-01-11 00:00:00,1008,1090,1792,1088,1024,1342
374,2011-01-12 00:00:00,1280,1360,2816,1152,1216,768
375,2011-01-13 00:00:00,1264,2418,2048,1424,1248,1435
376,2011-01-14 00:00:00,575,1056,2560,1470,1408,425
377,2011-01-15 00:00:00,0,0,256,1728,960,1005
378,2011-01-16 00:00:00,0,0,0,0,0,0
379,2011-01-17 00:00:00,1280,288,3056,1632,1024,789
380,2011-01-18 00:00:00,1216,204,2304,1408,1024,496
381,2011-01-19 00:00:00,768,504,2560,1696,1024,589
382,2011-01-20 00:00:00,1008,1586,2048,1408,1792,927
383,2011-01-21 00:00:00,1776,1704,2032,736,768,425
384,2011-01-22 00:00:00,512,1024,0,928,768,304
385,2011-01-23 00:00:00,0,0,0,0,0,0
386,2011-01-24 00:00:00,1251,768,2816,1600,1024,656
387,2011-01-25 00:00:00,1264,1314,2304,1152,1728,1065
388,2011-01-26 00:00:00,1504,1902,2176,918,1024,1543
389,2011-01-27 00:00:00,1280,1516,1472,1470,1280,1558
390,2011-01-28 00:00:00,1536,2966,2496,960,1280,3068
391,2011-01-29 00:00:00,1024,1940,0,1152,1024,2079
392,2011-01-30 00:00:00,0,0,0,0,0,0
393,2011-01-31 00:00:00,768,2468,3264,1472,768,544
394,2011-02-01 00:00:00,256,1856,2304,1120,1444,592
395,2011-02-02 00:00:00,0,0,0,0,0,0
396,2011-02-04 00:00:00,0,0,0,0,0,0
397,2011-02-05 00:00:00,0,0,967,0,0,0
398,2011-02-06 00:00:00,0,0,0,0,0,0
399,2011-02-07 00:00:00,1280,0,3328,1088,704,0
